,geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
0,48465950201,465,0.11485999999999999,0,0.9230299999999999,0,0.08564,0,0.13352999999999998,0,0.04485,0,0.02105,1,0.03703,0,0.67395,0,0.26302,0,0.19622,0,0.05732,0,0.12999000000000002,0.24909,8827,14.360289999999999,614.68109,,,0.0,0.0
1,48465950301,465,0.17881,0,0.9784799999999999,0,0.12842,0,0.35941,0,0.12243,0,0.0,1,0.006379999999999999,1,0.91358,0,0.06255,0,0.09572,0,0.30167,0,0.10586,0.0718,4677,4.013719999999999,1165.25326,,,0.0,0.0
2,48465950302,465,0.20845999999999998,0,0.8976299999999999,0,0.13242,0,0.17606,0,0.1439,0,0.0,1,0.0,1,0.9684799999999999,0,0.02444,0,0.08431,0,0.53263,0,0.14282999999999998,0.04066,4036,6.28555,642.10797,,,0.0,0.0
3,48465950400,465,0.15754,0,0.9443299999999999,0,0.11852,0,0.39843,0,0.14582,0,0.016390000000000002,1,0.01229,1,0.8611700000000001,0,0.0993,0,0.08874,0,0.56107,0,0.21768,0.038669999999999996,3740,8.506039999999999,439.68744000000004,,,0.0,0.0
4,48465950500,465,0.20496999999999999,0,0.9757600000000001,0,0.11317,0,0.1564,0,0.20819000000000001,0,0.00507,1,0.028460000000000003,0,0.72528,0,0.21961999999999998,0,0.14836,0,0.0,1,0.06242999999999999,0.0734,7472,272.05764,27.46477,,,0.0,0.0
5,48465950601,465,0.17281,0,0.9177799999999999,0,0.19022,0,0.26533,0,0.14624,0,0.00203,1,0.0,1,0.9857600000000001,0,0.012209999999999999,1,0.07937000000000001,0,0.09618,0,0.01941,0.06613,4101,2.1316599999999997,1923.8483399999998,,,0.0,0.0
6,48465950602,465,0.18974000000000002,0,0.86174,0,0.21936999999999998,0,0.22115,0,0.0883,0,0.0,1,0.0,1,0.96699,0,0.033010000000000005,1,0.07647999999999999,0,0.2337,0,0.013859999999999999,0.055189999999999996,4062,2.36593,1716.87453,,,0.0,0.0
7,48465950700,465,0.29203,0,0.89775,0,0.1316,0,0.16421,0,0.05356,0,0.00267,1,0.0018800000000000002,1,0.84231,0,0.14984,0,0.11463,0,0.0,1,0.15895,0.15245,6354,17.3618,365.97598,,,0.0,0.0
8,48465950800,465,0.20069,0,1.0,0,0.12557000000000001,0,0.08167,0,0.08825,0,0.00542,1,0.0,1,0.69576,0,0.29882,0,0.11615999999999999,0,0.0,1,0.14899,0.23064,5605,8044.111059999999,0.6967800000000001,,,0.0,0.0
9,48465980000,465,,1,,1,,1,,1,,1,,1,,1,,1,,1,0.0,1,0.0,1,,0.02197,5,1.3821,3.61769,,,0.0,0.0
