,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,368160563,2002,fire_station,Lumberton Volunteer Fire Department,-94.1941316000,30.2006988000,-94.19413,30.2007
1,368160783,2002,fire_station,Batson Volunteer Fire Department,-94.6066132000,30.2516396000,-94.60661,30.25164
2,368160848,2002,fire_station,Lumberton Volunteer Fire Department,-94.1986106000,30.2557813000,-94.19861,30.25578
3,368160861,2002,fire_station,Pinewood Volunteer Fire Department,-94.3173868000,30.1497356000,-94.31739,30.14974
4,368161054,2002,fire_station,Saratoga Volunteer Fire Department,-94.5214368000,30.2844668000,-94.52144,30.28447
5,368162764,2099,public_building,Hardin County Justice of the Peace 5,-94.1927273000,30.2285973000,-94.19273,30.2286
6,663478898,2001,police,,-94.1983075000,30.2655090000,-94.19831,30.26551
7,663478922,2009,courthouse,,-94.1985274000,30.2655229000,-94.19853,30.26552
8,368160834,2002,fire_station,Kountze Volunteer Fire / Rescue Department,-94.3122659000,30.3749814000,-94.31227,30.37498
9,368160924,2002,fire_station,Silsbee Fire Department,-94.1765660000,30.3478327000,-94.17657,30.34783
10,368161131,2002,fire_station,Wildwood Volunteer Fire Department,-94.4366170000,30.5163434000,-94.43662,30.51634
11,368161135,2002,fire_station,Silsbee Fire Marshal's Office,-94.1779725000,30.3578850000,-94.17797,30.35788
12,368162267,2001,police,Kountze Police Department,-94.3155366000,30.3707228000,-94.31554,30.37072
13,368162431,2001,police,Silsbee Police Department,-94.1744385000,30.3567820000,-94.17444,30.35678
14,368162446,2001,police,Hardin County Highway Patrol,-94.3156217000,30.3683609000,-94.31562,30.36836
