name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,333 COMMERCIAL STREET SOUR LAKE TX 77659,30.15029,-94.31533,,,
,8890 KEITH ROAD LUMBERTON TX 77657,30.20071,-94.19415,,,
,13430 FM 421 SOUR LAKE TX 77659,30.20221,-94.35437,,,
,42803 HWY 105 BATSON TX 77519,30.24921,-94.60788,,,
,140 EAST CHANCE CUT-OFF LUMBERTON TX 77657,30.26556,-94.19759,,,
,1865 FM 3513 LUMBERTON TX 77657,30.26577,-94.19963,,,
,90 WEST CHANCE CUT-OFF LUMBERTON TX 77657,30.26699,-94.20183,,,
,16628 FM HWY 770 SARATOGA TX 77585,30.2845,-94.52139,,,
,1150 HWY 69 SOUTH KOUNTZE TX 77625,30.29337,-94.23769,,,
,8545 HWY 92 SILSBEE TX 77656,30.3491,-94.17796,,,
,1305 ROOSEVELT DRIVE SILSBEE TX 77656,30.35787,-94.19126,,,
,170 WEST FM 418 SILSBEE TX 77656,30.36135,-94.17555,,,
,1035 NORTH PINE STREET KOUNTZE TX 77625,30.38346,-94.32035,,,
,9097 FM 1293 HONEY ISLAND TX 77625,30.3934,-94.43486,,,
,27917 FM 787 THICKET TX 77374,30.40015,-94.63567,,,
,950 HWY 96 SOUTH SILSBEE TX 77656,30.46746,-93.9602,,,
,13634 HWY 69 NORTH VILLAGE MILLS TX 77663,30.50928,-94.39971,,,
