,geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
0,48091310100,91,0.0517,0,0.93434,0,0.12832000000000002,0,0.09862,0,0.09317,0,,1,0.01091,1,0.33428,0,0.6140399999999999,0,0.02938,0,0.39721999999999996,0,0.15803,0.014230000000000001,3151,3.5063,898.66802,0.11600999999999999,0.12792,0.0,0.025689999999999998
1,48091310200,91,0.059000000000000004,0,0.9777,0,0.14548,0,0.11227000000000001,0,0.14384,0,,1,0.00921,1,0.42555,0,0.54983,0,0.030860000000000002,0,0.48275,0,0.05195,0.01266,2482,4.09161,606.60744,0.14276,0.13245,0.0,0.03731
2,48091310300,91,0.01984,1,0.89761,0,0.13112000000000001,0,0.11227999999999999,0,0.04306,0,,1,0.00761,1,0.20492,0,0.7821,0,0.059860000000000003,0,0.17227,0,0.06292,0.042789999999999995,6823,9.13462,746.9388700000001,0.14238,0.1,0.0,0.0494
3,48091310401,91,0.09097999999999999,0,0.92368,0,0.10755999999999999,0,0.10429000000000001,0,0.14604,0,,1,0.01736,1,0.70705,0,0.27244,0,0.037239999999999995,0,0.52461,0,0.04777,0.0124,5626,6.712619999999999,838.1227700000001,0.09527000000000001,0.0993,0.0,0.00867
4,48091310403,91,0.04047,0,0.9785,0,0.12412999999999999,0,0.0649,0,0.08859,0,,1,0.016059999999999998,1,0.27981,0,0.64178,0,0.04905,0,0.26486,0,0.01287,0.02984,5537,8.035110000000001,689.1007900000001,0.08592999999999999,0.0819,0.0,0.009770000000000001
5,48091310404,91,0.09852999999999999,0,0.92501,0,0.20465,0,0.21411999999999998,0,0.05875,0,,1,0.00246,1,0.43664,0,0.52979,0,0.027860000000000003,0,0.07021000000000001,0,0.034960000000000005,0.020909999999999998,4311,4.92393,875.5194,0.11634000000000001,0.12993,0.0,0.026139999999999997
6,48091310501,91,0.040080000000000005,0,0.9548399999999999,0,0.16344,0,0.14932,0,0.07735,0,,1,0.01635,1,0.46371999999999997,0,0.47168999999999994,0,0.03257,0,0.47143999999999997,0,0.0298,0.01316,3447,4.5691,754.41613,0.08696,0.08800000000000001,0.0113,0.0173
7,48091310502,91,0.04576,0,0.9754700000000001,0,0.10975,0,0.13307,0,0.12175,0,,1,0.04452,0,0.44998,0,0.47981,0,0.04295,0,0.19143,0,0.11639000000000001,0.026080000000000002,4443,9.76397,455.04020999999995,0.07332999999999999,0.08516,0.0,0.01778
8,48091310503,91,0.0282,0,0.9026700000000001,0,0.11579,0,0.02973,0,0.04974,0,,1,0.00535,1,0.18212,0,0.75862,0,0.038,0,0.55629,0,0.10667,0.014480000000000002,3555,7.72195,460.37575999999996,0.13435,0.06841,0.033339999999999995,0.0303
9,48091310603,91,0.03482,0,0.9842700000000001,0,0.13660999999999998,0,0.07704,0,0.07574,0,,1,0.03108,1,0.14051,0,0.8043899999999999,0,0.029710000000000004,0,0.0,1,0.00928,0.049030000000000004,3057,127.28317,24.01732,0.08369,0.09003,0.0,0.03329
