name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,15 CO RD 129 (HWY 563) LIBERTY TX 77575,29.93055,-94.70483,,,
,8704 FM 1409 DAYTON TX 77535,29.94554,-94.84342,,,
,201 S CHISM ST DEVERS TX 77538,30.02667,-94.59106,,,
,801 S COLBERT DAYTON TX 77535,30.0418,-94.87768,,,
,101 DONATTO DR LIBERTY TX 77575,30.0541,-94.74345,,,
,100 CHERRY CREEK RD DAYTON TX 77535,30.06085,-94.89912,,,
,3730 FM 160 N RAYWOOD TX 77582,30.07293,-94.67043,,,
,3536 FM 1008 DAYTON TX 77535,30.10374,-94.85746,,,
,117 N MAIN (HWY 770) DAISETTA TX 77533,30.11533,-94.64472,,,
,7609 FM 834 HULL TX 77564,30.13821,-94.64124,,,
,155 CO RD 345 CLEVELAND TX 77327,30.21164,-95.09786,,,
,127 HWY 105 E LIBERTY TX 77575,30.24757,-94.73984,,,
,CO RD 306 @ HWY 321 TARKINGTON TX,30.27177,-94.97362,,,
,108 CR  2250 CLEVELAND TX 77327,30.31245,-94.98815,,,
,97 FM 1010 CLEVELAND TX 77327,30.32463,-95.0857,,,
,210 PEACH AVE CLEVELAND TX 77327,30.34416,-95.0785,,,
,900 SAMUEL WILEY DR CLEVELAND TX 77327,30.35418,-95.07963,,,
,1807 CR 2212 TARKINGTON TX 77327,30.36605,-94.99927,,,
,10078 FM 787 W DOLEN TX 77327,30.41496,-94.90091,,,
,4753 FM 787 ROMAYOR TX 77368,30.45136,-94.83803,,,
