name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"1500 MAJESTIC MEADOW DR GLENN HEIGHTS, TX 75154",32.56347,-96.88173,,,
,"1203 S CLARK RD CEDAR HILL, TX 75104",32.5655,-96.94196,,,
,"1020 LAKE RIDGE PKWY CEDAR HILL, TX 75104",32.56903,-97.00524,,,
,"310 E PARKERVILLE RD CEDAR HILL, TX 75104",32.57418,-96.93777,,,
,"600 EAGLE DR DESOTO, TX 75115",32.58059,-96.87062,,,
,"425 S COCKRELL HILL RD DESOTO, TX 75115",32.58338,-96.89199,,,
,"131 SIMS DR CEDAR HILL, TX 75104",32.58805,-96.93014,,,
,"200 E BELT LINE RD DESOTO, TX 75115",32.58884,-96.85487,,,
,"202 E. BELTLINE RD CEDAR HILL, TX 75104",32.58918,-96.93995,,,
,"101 DAVIDSON PLAZA WILMER, TX 75172",32.58978,-96.68497,,,
,"601 E BELT LINE RD DESOTO, TX 75115",32.59207,-96.84441,,,
,"218 N BROAD ST CEDAR HILL, TX 75104",32.59219,-96.95786,,,
,"531 W MAIN ST LANCASTER, TX 75146",32.59262,-96.76308,,,
,"285 UPTOWN BLVD CEDAR HILL, TX 75104",32.59323,-96.95084,,,
,"450 ROLLING HILLS PL LANCASTER, TX 75146",32.59696,-96.81375,,,
,"630 MILLBROOK DR LANCASTER, TX 75146",32.59739,-96.79776,,,
,"707 YOUNG BLVD DESOTO, TX 75115",32.60036,-96.86733,,,
,"1208 E PLEASANT RUN RD CEDAR HILL, TX 75104",32.60341,-96.91622,,,
,"822 W PLEASANT RUN RD LANCASTER, TX 75146",32.60491,-96.77161,,,
,"427 W PLEASANT RUN RD LANCASTER, TX 75146",32.60627,-96.76347,,,
,"901 N POLK ST DESOTO, TX 75115",32.60661,-96.84163,,,
,"1016 THE MEADOWS PKWY DESOTO, TX 75115",32.60784,-96.83033,,,
,"1600 VETERANS MEMORIAL PKWY LANCASTER, TX",32.60902,-96.75739,,,
,"1533 HIGH POINTE LN CEDAR HILL, TX 75104",32.62279,-96.95522,,,
,"1903 BLUERIDGE DR DUNCANVILLE, TX 75137",32.6231,-96.90426,,,
,"510 SOFTWOOD DR DUNCANVILLE, TX 75137",32.62416,-96.92002,,,
,"2929 MARQUIS LN LANCASTER, TX 75134",32.62441,-96.80384,,,
,"3030 N DALLAS AVE LANCASTER, TX 75134",32.62567,-96.76404,,,
,"9339 S POLK ST DALLAS, TX 75232",32.6354,-96.84106,,,
,"1007 SPRINGWOOD LN DUNCANVILLE, TX 75137",32.64105,-96.93125,,,
,"6801 MOUNTAIN CREEK PKWY DALLAS, TX 75249",32.64161,-96.95577,,,
,"8601 WILLOUGHBY BLVD DALLAS, TX 75232",32.64349,-96.83028,,,
,"108 E FARMERS RD SEAGOVILLE, TX 75159",32.64593,-96.54344,,,
,"2817 CHERRY VALLEY BLVD DALLAS, TX 75241",32.64594,-96.77569,,,
,"1040 W WHEATLAND RD DUNCANVILLE, TX 75116",32.64629,-96.93207,,,
,"323 W WHEATLAND RD DUNCANVILLE, TX 75116",32.64636,-96.91345,,,
,"2020 WHEATLAND RD DALLAS, TX 75232",32.64655,-96.85068,,,
,"530 E FREEMAN ST DUNCANVILLE, TX 75116",32.64837,-96.90096,,,
,"201 JAMES COLLINS BLVD DUNCANVILLE, TX 75116",32.649,-96.90744,,,
,"321 N MAIN ST HUTCHINS, TX 75141",32.64969,-96.71365,,,
,"302 E FREEMAN ST DUNCANVILLE, TX 75116",32.65049,-96.9054,,,
,"6102 MOUNTAIN CREEK PKWY DALLAS, TX 75249",32.65062,-96.966,,,
,"201 W CENTER ST DUNCANVILLE, TX 75116",32.652,-96.91073,,,
,"7808 RACINE DR DALLAS, TX 75232",32.65331,-96.83548,,,
,"1501 COFFEYVILLE TRL GRAND PRAIRIE, TX 75052",32.65376,-97.02229,,,
,"702 N HWY 175 SEAGOVILLE, TX 75159",32.65471,-96.56282,,,
,"1902 PALMER TRL GRAND PRAIRIE, TX 75052",32.65508,-97.03002,,,
,"3150 BAINBRIDGE AVE DALLAS, TX 75237",32.65605,-96.86341,,,
,"4729 S CARRIER PKWY GRAND PRAIRIE, TX 75052",32.65657,-97.00493,,,
,"5520 LANGDON RD DALLAS, TX 75241",32.65739,-96.73032,,,
,"7071 BONNIE VIEW RD DALLAS, TX 75241",32.65948,-96.75316,,,
,"7300 UNIVERSITY HILLS BLVD DALLAS, TX 75241",32.65961,-96.80363,,,
,"900 W CAMP WISDOM RD DUNCANVILLE, TX 75116",32.66032,-96.92964,,,
,"4616 BARDIN RD GRAND PRAIRIE, TX 75052",32.66096,-96.99408,,,
,"6700 WANDT DR DALLAS, TX 75236",32.66503,-96.92854,,,
,"6661 GREENSPAN AVE DALLAS, TX 75232",32.66588,-96.82966,,,
,"101 E FAIRMEADOWS DR DUNCANVILLE, TX 75116",32.66667,-96.90444,,,
,"760 BARDIN RD GRAND PRAIRIE, TX 75052",32.66742,-97.01444,,,
,"1909 CROUCH RD DALLAS, TX 75241",32.6703,-96.79348,,,
,"6200 BONNIE VIEW RD DALLAS, TX 75241",32.67085,-96.76016,,,
,"6000 SOUTH HAMPTON RD  DALLAS, TX 75232",32.67407,-96.85622,,,
,"1000 E REDBIRD LN DALLAS, TX 75241",32.67455,-96.80835,,,
,"6011 OLD OX RD DALLAS, TX 75241",32.67469,-96.7978,,,
,"3800 SIMPSON STUART RD DALLAS, TX 75241",32.67526,-96.75664,,,
,"10210 TEAGARDEN RD DALLAS, TX 75217",32.6753,-96.64605,,,
,"5725 S MARSALIS AVE DALLAS, TX 75241",32.67708,-96.8153,,,
,"1303 REYNOLDSTON LN DALLAS, TX 75232",32.67742,-96.84214,,,
,"5505 S POLK ST DALLAS, TX 75232",32.67954,-96.841,,,
,"3722 BLACK OAK DR DALLAS, TX 75241",32.67989,-96.76253,,,
,"724 GREEN COVE LN DALLAS, TX 75232",32.68388,-96.83309,,,
,"1515 EDD RD DALLAS, TX 75253",32.68547,-96.60352,,,
,"3410 KIRBY CREEK DR GRAND PRAIRIE, TX 75052",32.68863,-97.00841,,,
,"2543 E LEDBETTER DR DALLAS, TX 75216",32.6917,-96.77889,,,
,"3030 STAG RD DALLAS, TX 75241",32.6918,-96.76479,,,
,"4010 IDAHO AVE DALLAS, TX 75216",32.69455,-96.81132,,,
,"2121 TOSCA LN DALLAS, TX 75224",32.69516,-96.85344,,,
,"3333 SPRAGUE DR DALLAS, TX 75233",32.69663,-96.87632,,,
,"3815 S FRANKLIN ST DALLAS, TX 75233",32.69673,-96.86157,,,
,"4203 S LANCASTER RD DALLAS, TX 75216",32.69799,-96.79577,,,
,"2914 CUMMINGS ST DALLAS, TX 75216",32.69814,-96.77306,,,
,"8805 FIRESIDE DR DALLAS, TX 75217",32.69833,-96.66828,,,
,"3601 S MARSALIS AVE DALLAS, TX 75216",32.69988,-96.81668,,,
,"253 W LAWSON RD DALLAS, TX 75253",32.70012,-96.57585,,,
,"444 FAWN RIDGE DR DALLAS, TX 75224",32.70062,-96.83066,,,
,"511 E SPRINGDALE LN GRAND PRAIRIE, TX 75052",32.70214,-96.99701,,,
,"637 EDGEWORTH DR DALLAS, TX 75217",32.70225,-96.6365,,,
,"2800 REFORMA DR GRAND PRAIRIE, TX 75052",32.70249,-96.98954,,,
,"3410 S POLK ST DALLAS, TX 75224",32.70266,-96.83956,,,
,"4200 BONNIE VIEW RD DALLAS, TX 75216",32.7084,-96.77387,,,
,"3031 S BECKLEY AVE DALLAS, TX 75224",32.70862,-96.82405,,,
,"3000 MARYLAND AVE DALLAS, TX 75216",32.70864,-96.81224,,,
,"7720 GAYGLEN DR DALLAS, TX 75217",32.70894,-96.68929,,,
,"3080 S HAMPTON RD DALLAS, TX 75224",32.70992,-96.85428,,,
,"9733 OLD SEAGOVILLE RD DALLAS, TX 75217",32.71039,-96.65379,,,
,"4372 SHEPHERD LN BALCH SPRINGS, TX 75180",32.71051,-96.6133,,,
,"4600 SOLAR LN DALLAS, TX 75216",32.71086,-96.7446,,,
,"2001 DEER PATH DR DALLAS, TX 75216",32.71114,-96.79533,,,
,"14401 SPRING OAKS DR BALCH SPRINGS, TX 75180",32.71409,-96.59861,,,
,"2008 EAST KIEST BLVD DALLAS, TX 75216",32.71484,-96.79042,,,
,"2727 KNOXVILLE ST DALLAS, TX 75211",32.71522,-96.90071,,,
,"2001 E KIEST BLVD DALLAS, TX 75216",32.71535,-96.79215,,,
,"2030 PROCTOR DR GRAND PRAIRIE, TX 75051",32.7173,-97.01299,,,
,"3700 S BELT LINE RD MESQUITE, TX 75181",32.71812,-96.59443,,,
,"12400 ELAM RD BALCH SPRINGS, TX 75180",32.71882,-96.6132,,,
,"2550 W ILLINOIS AVE DALLAS, TX 75233",32.71988,-96.86124,,,
,"3110 BONNIE VIEW RD DALLAS, TX 75216",32.72044,-96.78014,,,
,"7044 HODDE ST DALLAS, TX 75217",32.72081,-96.70225,,,
,"2121 S MARSALIS AVE DALLAS, TX 75216",32.72185,-96.81492,,,
,"1204 E MARSHALL DR GRAND PRAIRIE, TX 75051",32.72197,-96.98867,,,
,"650 HOLCOMB RD DALLAS, TX 75217",32.72237,-96.67283,,,
,"620 N ST AUGUSTINE RD DALLAS, TX 75217",32.72259,-96.65546,,,
,"2018 S MARSALIS AVE DALLAS, TX 75216",32.72306,-96.81406,,,
,"1220 NEWPORT AVE DALLAS, TX 75224",32.72501,-96.8431,,,
,"802 S BUCKNER BLVD DALLAS, TX 75217",32.72578,-96.68223,,,
,"3200 HICKORY TREE RD BALCH SPRINGS, TX 75180",32.72609,-96.62185,,,
,GPISD,32.72678,-96.98535,,,
,"1702 S DENLEY DR DALLAS, TX 75216",32.72699,-96.80508,,,
,"4849 W ILLINOIS AVE DALLAS, TX 75211",32.727,-96.90372,,,
,"1515 S RAVINIA DR DALLAS, TX 75211",32.72795,-96.87037,,,
,"3300 E CARTWRIGHT RD MESQUITE, TX 75181",32.73116,-96.55747,,,
,"1515 LYNN HAVEN AVE DALLAS, TX 75216",32.73231,-96.80241,,,
,"1218 PHINNEY AVE DALLAS, TX 75211",32.73248,-96.88712,,,
,"801 S.W. 19TH ST GRAND PRAIRIE, TX 75051",32.73306,-97.03002,,,
,"1111 MARTINDELL AVE DALLAS, TX 75211",32.73363,-96.8768,,,
,"7310 LAKE JUNE RD DALLAS, TX 75217",32.73372,-96.69564,,,
,"1151 S. EDGEFIELD AVE DALLAS, TX 75208",32.73461,-96.8449,,,
,"4125 W CLARENDON DR DALLAS, TX 75211",32.73535,-96.88834,,,
,"6000 KEENELAND PKWY DALLAS, TX 75211",32.73584,-96.92485,,,
,"425 ALICE DR GRAND PRAIRIE, TX 75051",32.7373,-97.00678,,,
,"2020 MOUSER ST DALLAS, TX 75203",32.73779,-96.79299,,,
,"2525 HELEN LANE MESQUITE, TX 75181",32.73806,-96.54515,,,
,"810 S LLEWELLYN AVE DALLAS, TX 75208",32.73836,-96.83171,,,
,"1403 MORRELL AVE DALLAS, TX 75203",32.73945,-96.80206,,,
,"1515 N JIM MILLER RD DALLAS, TX 75217",32.73981,-96.70158,,,
,"1625 N MASTERS DR DALLAS, TX 75217",32.74048,-96.64945,,,
,"2419 GLADSTONE DR DALLAS, TX 75211",32.74064,-96.85759,,,
,"7800 UMPHRESS ROAD DALLAS, TX 75217",32.74189,-96.68887,,,
,"601 E GRAND PRAIRIE RD GRAND PRAIRIE, TX 75051",32.74198,-96.99628,,,
,"410 S BECKLEY AVE DALLAS, TX 75203",32.74239,-96.82257,,,
,"3901 MEREDITH AVE DALLAS, TX 75211",32.74279,-96.88494,,,
,"3101 RAYDELL PL DALLAS, TX 75211",32.74287,-96.87292,,,
,"2627 DORRIS ST DALLAS, TX 75215",32.74296,-96.75214,,,
,"220 S EDGEFIELD AVE DALLAS, TX 75224",32.74358,-96.84386,,,
,"2021 W TENTH ST DALLAS, TX 75208",32.74539,-96.85243,,,
,"8928 PALISADE DR DALLAS, TX 75217",32.74556,-96.6679,,,
,"201 N ADAMS AVE DALLAS, TX 75208",32.74684,-96.83079,,,
,"2442 W JEFFERSON BLVD DALLAS, TX 75211",32.7474,-96.8583,,,
,"1502 COLLEGE ST GRAND PRAIRIE, TX 75050",32.74839,-97.02422,,,
,"10747 BRUTON RD DALLAS, TX 75217",32.74963,-96.64156,,,
