name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,539 HWY 83-84 ABILENE TX 79606,31.60052,-91.51418,,,
,518 Avenue D LAWN TX 79530,32.13639,-99.75057,,,
,632 Kent Street TUSCOLA TX 79562,32.21026,-99.79676,,,
,142 CR 675 TUSCOLA TX 79562,32.25108,-99.98937,,,
,741 Litel Street BUFFALO GAP TX 79508,32.2788,-99.82978,,,
,250 Boynton Road ABILENE TX 79606,32.34371,-99.88887,,,
,2801 Antilley Road ABILENE TX 79606,32.3714,-99.75593,,,
,5535 Buffalo Gap Road ABILENE TX 79606,32.38151,-99.76965,,,
,5049 Oldham Lane ABILENE TX 79602,32.3892,-99.70733,,,
,3666 Buffalo Gap Road ABILENE TX 79605,32.40728,-99.75663,,,
,4515 S. 14th Street ABILENE TX 79605,32.42994,-99.78124,,,
,1240 Lakeside Drive ABILENE TX 79602,32.43405,-99.71789,,,
,3333 S. 11th Street ABILENE TX 79605,32.43724,-99.76493,,,
,400 Oak Street ABILENE TX 79602,32.44501,-99.73346,,,
,555 Walnut Street ABILENE TX 79601,32.454,-99.7305,,,
,517 North Pioneer Drive ABILENE TX 79603,32.45678,-99.77806,,,
,860 Woodlawn Drive ABILENE TX 79603,32.45927,-99.75951,,,
,307 Locust Street MERKEL TX 79536,32.46749,-100.01434,,,
,2250 Ambler Avenue ABILENE TX 79603,32.47549,-99.74954,,,
,650 E. Ambler Avenue ABILENE TX 79601,32.47581,-99.7136,,,
