name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"9180 FM 775, La Vernia, TX 78121",29.46162,-98.10336,,,
,8251 FM 1117 SEGUIN TX 78155,29.46919,-97.87302,,,
,16121 FM 725 SEGUIN TX 78155,29.53723,-97.99127,,,
,"1052 FM 78 Schertz, TX 78154",29.55649,-98.2583,,,
,1015 S AUSTIN ST. SEGUIN TX 78155,29.55801,-97.96874,,,
,"606 S. Center St., Marion TX 78124",29.56377,-98.13915,,,
,139 Eastwood Dr SEGUIN TX 78155,29.56397,-97.93911,,,
,200 Schlather Ln CIBOLO TX 78108,29.56426,-98.23077,,,
,1400 Schertz Pkwy SCHERTZ TX 78154,29.56502,-98.26938,,,
,1101 Elbel Rd SCHERTZ TX 78154,29.56594,-98.25967,,,
,510 E. Court St. SEGUIN TX 78155,29.56948,-97.96056,,,
,212 N Barnett St MARION TX 78124,29.57277,-98.13913,,,
,1109 University Dr SEGUIN TX 78155,29.57442,-97.98406,,,
,409 W. Krezdorn SEGUIN TX 78155,29.57482,-97.96899,,,
,814 N. Bauer St SEGUIN TX 78155,29.57629,-97.95873,,,
,1208 N Vaughan SEGUIN TX 78155,29.57914,-97.97979,,,
,2600 Roy Richard Dr SCHERTZ TX 78154,29.58037,-98.26268,,,
,618 E. Kingsbury St. SEGUIN TX 78155,29.58131,-97.95916,,,
,3460 Roy Richard Dr SCHERTZ TX 78154,29.58524,-98.26608,,,
,1653 N Santa Clara Rd MARION TX 78124,29.58834,-98.17357,,,
,9375 Corporate Dr SELMA TX 78154,29.59211,-98.30576,,,
,3211 Hwy 78 MCQUEENEY TX 78123,29.59262,-98.0294,,,
,3864 Cibolo Valley Dr CIBOLO TX 78108,29.59513,-98.25245,,,
,2405 E. US Hwy 90 SEGUIN TX 78155,29.59606,-97.92798,,,
,275 Gallagher Rd MCQUEENEY TX 78123,29.61296,-98.03503,,,
,3501 Morning Dr CIBOLO TX 78108,29.61964,-98.22444,,,
,7035 FM 2438 KINGSBURY TX 78638,29.64676,-97.82751,,,
,2356 S. Hwy 80 LULING TX 78648,29.64796,-97.66189,,,
,2620 W Klein Rd NEW BRAUNFELS TX 78130,29.65522,-98.11167,,,
,3240 FM 725 NEW BRAUNFELS TX 78130,29.65594,-98.08595,,,
,280 Navarro Dr GERONIMO TX 78155,29.66067,-97.9701,,,
,2189 FM 758 NEW BRAUNFELS TX 78130,29.69541,-98.03949,,,
,9615 FM 621 STAPLES TX 78670,29.78556,-97.84039,,,
,5093 Redwood Rd San Marcos TX 78666,29.81071,-97.9114,,,
