name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,510 FM 1015 PROGRESO TX 78579,26.09837,-97.94994,,,
,704 E. Ramon Ayala HIDALGO TX 78557,26.10284,-98.25453,,,
,9701 S. Jackson Rd. PHARR TX 78577,26.10861,-98.21754,,,
,850 W. Dicker Rd. PHARR TX 78577,26.12489,-98.20451,,,
,6603 S. FM 494 GRANJENO TX 78572,26.1358,-98.30006,,,
,1429 S.Tower Rd ALAMO TX 78516,26.14984,-98.11646,,,
,520 E. 2nd St. MERCEDES TX 78570,26.15051,-97.90554,,,
,514 W. 4th St. WESLACO TX 78596,26.15696,-97.99507,,,
,275 S. Kansas WESLACO TX 78596,26.16003,-97.9895,,,
,900 N. Missouri MERCEDES TX 78570,26.16033,-97.9156,,,
,1408 Silver Ave. DONNA TX 78537,26.16628,-98.04784,,,
,400 N. Salinas Blvd DONNA TX 78537,26.17453,-98.04103,,,
,1101 E. Vermont Ave. MCALLEN TX 78503,26.18136,-98.21279,,,
,701 E. Sam Houston SAN JUAN TX 78589,26.18148,-98.14657,,,
,1212 S. Fir PHARR TX 78577,26.18276,-98.18012,,,
,2302 N. International Blvd. WESLACO TX 78596,26.18326,-97.9571,,,
,3401 Jordan Rd. MCALLEN TX 78503,26.18587,-98.26403,,,
,416 N. Tower Rd. ALAMO TX 78516,26.18617,-98.10992,,,
,1011 W. Kelly Ave Pharr TX 78577,26.19266,-98.19816,,,
,733 N. Alamo Rd ALAMO TX 78516,26.19525,-98.12269,,,
,9205 N. Alamo Rd. ALAMO TX 78516,26.19965,-98.12048,,,
,807 FM 495 ALAMO TX 78516,26.20146,-98.11532,,,
,1001 N. Fir PHARR TX 78577,26.20262,-98.17554,,,
,201 N. 1st St. MCALLEN TX 78501,26.20271,-98.22024,,,
,903 N. Flag St. PHARR TX 78577,26.20483,-98.19194,,,
,1401 N. Raul Longoria Rd. SAN JUAN TX 78589,26.20484,-98.1515,,,
,601 N. Main St. MCALLEN TX 78501,26.21001,-98.23373,,,
,1201 E. 8th St. MISSION TX 78572,26.21233,-98.31295,,,
,415 W. Tom Landry MISSION TX 78572,26.21602,-98.32953,,,
,921 E. 12th St. MISSION TX 78572,26.21681,-98.31545,,,
,3201 Pecan Blvd. MCALLEN TX 78501,26.21697,-98.25359,,,
,1822 N. Shary Rd. MISSION TX 78572,26.21759,-98.28257,,,
,2301 N. Raul Longoria Rd. SAN JUAN TX 78589,26.2179,-98.15004,,,
,2112 N. Main St. MCALLEN TX 78501,26.22371,-98.23125,,,
,1925 N. 25th St. MCALLEN TX 78501,26.22431,-98.24486,,,
,810 W. Griffin Parkway MISSION TX 78572,26.22994,-98.33255,,,
,1111 S. Main St. PENITAS TX 78576,26.2304,-98.4449,,,
,500 E. Earling Rd. PHARR TX 78577,26.23254,-98.1725,,,
,400 W. Veterans Blvd. PALMVIEW TX 78572,26.23742,-98.37354,,,
,2401 N. Moorefield Rd. PALMVIEW TX 78572,26.23757,-98.35471,,,
,3800 N. Main St. MCALLEN TX 78501,26.23809,-98.22739,,,
,700 E. 2 Mile Rd. MISSION TX 78572,26.24216,-98.31513,,,
,4001 N. 23rd St. MCALLEN TX 78501,26.24237,-98.24205,,,
,701 E. Exp. 83 LA JOYA TX 78560,26.24741,-98.47089,,,
,201 E. Martin Ave. MCALLEN TX 78501,26.25948,-98.21184,,,
,2601 Lark Ave. MCALLEN TX 78504,26.26161,-98.24206,,,
,7000 N. Main St. MCALLEN TX 78501,26.26591,-98.22301,,,
,5101 N. Stewart Rd. PALMHURST TX 78573,26.26734,-98.29468,,,
,500 S. Cenizo Dr. SULLIVAN CITY TX 78595,26.26754,-98.5604,,,
,7800 N. Ware Rd. MCALLEN TX 78501,26.27626,-98.2469,,,
,5441 N. La Homa Rd. LA JOYA TX 78560,26.28026,-98.35457,,,
,509 S. Alton Blvd. ALTON TX 78573,26.28216,-98.31539,,,
,2821 W. Canton Rd. EDINBURG TX 78539,26.28217,-98.19499,,,
,1100 E. Ebony Ln. EDINBURG TX 78539,26.28811,-98.15317,,,
,1501 W. Freddy Gonzalez MCALLEN TX 78501,26.28905,-98.17958,,,
,601 W. Freddy Gonzalez EDINBURG TX 78539,26.2897,-98.17072,,,
,904 S. 12th St. EDINBURG TX 78539,26.2928,-98.16207,,,
,200 W. Santa Rosa EDCOUCH TX 78538,26.29414,-97.96208,,,
,216 E. 4th St ELSA TX 78543,26.2961,-97.98637,,,
,500 E. 9th St. LA VILLA TX 78562,26.29679,-97.92613,,,
,"317 N. Closner Blvd. ""Rear"" EDINBURG TX 78539",26.30423,-98.16241,,,
,1201 W. University EDINBURG TX 78539,26.3082,-98.17402,,,
,4010 N. Doolittle Rd. EDINBURG TX 78539,26.31057,-98.1271,,,
,10820 N. Conway MISSION TX 78572,26.31336,-98.30817,,,
,1202 NB. Monmack Rd. EDINBURG TX 78539,26.31875,-98.19808,,,
,3101 North Closner EDINBURG TX 78539,26.33222,-98.15912,,,
,3420 W. Rogers Rd. EDINBURG TX 78539,26.33529,-98.19614,,,
,25149 1st St. MONTE ALTO TX 78538,26.37369,-97.97825,,,
,10010 N. Via Fernandez EDINBURG TX 78539,26.40061,-98.1507,,,
,13394 4th St. HARGILL TX 78549,26.44601,-98.01553,,,
,28212 S. FM 2058 MCCOOK TX 78541,26.47901,-98.39142,,,
,21661 TX 186 EDINBURG TX 78539,26.55569,-98.11883,,,
,107 N. Sunflower Rd EDINBURG TX 78542,26.29431,-98.04698,,,
