name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,120 REDWATER BLVD W REDWATER TX 75573,33.3632,-94.2525,,,
,10650 FM 561 SIMMS TX 75574,33.36634,-94.62577,,,
,2921 NORRIS COOLEY DR TEXARKANA TX 75501,33.40579,-94.07686,,,
,1101 FM 991 TEXARKANA TX 75501,33.40652,-94.18588,,,
,766 MACEDONIA RD TEXARKANA TX 75501,33.41451,-94.12726,,,
,220 TEXAS BLVD TEXARKANA TX 75501,33.42126,-94.04532,,,
,624 BURMA RD WAKE VILLAGE TX 75501,33.42608,-94.10567,,,
,410 WESTLAWN DR TEXARKANA TX 75501,33.437,-94.08597,,,
,2500 N ROBISON RD TEXARKANA TX 75501,33.44337,-94.07937,,,
,3028 TEXAS BLVD TEXARKANA TX 75501,33.44609,-94.05257,,,
,3201 LINCOLN ST TEXARKANA TX 75501,33.44646,-94.06338,,,
,100 BURTON ST NASH TX 75569,33.44672,-94.13067,,,
,506 S MCCOY BLVD NEW BOSTON TX 75570,33.45166,-94.40977,,,
,401 E AVE A HOOKS TX 75561,33.46786,-94.2843,,,
,710 JAMES BOWIE DR NEW BOSTON TX 75570,33.47253,-94.40583,,,
,5605 COOKS LN TEXARKANA TX 75503,33.47369,-94.08475,,,
,194 FM 1326 N DEKALB TX 75559,33.50873,-94.61632,,,
,152 SW MAPLE ST DEKALB TX 75559,33.50918,-94.62116,,,
