Unnamed: 0,name,address,lat,lon
1,,1371 W FM 550 MCLENDON-CHISHOLM TX 75032,32.83664,-96.40012
2,,200 LAURENCE DR HEATH TX 75087,32.83733,-96.47378
3,,6492 FM 3097 ROCKWALL TX 75032,32.86688,-96.44551
4,,3003 HORIZON ROCKWALL TX 75087,32.8893,-96.46724
5,,899 ROCHELL RD ROCKWALL TX 75087,32.90188,-96.40099
6,,2051 TRAIL GLEN ROCKWALL TX 75087,32.90407,-96.42912
7,,5701 SCENIC DR ROWLETT TX 75088,32.91223,-96.51048
8,,9400 LAKEVIEW PKW ROWLETT TX 75088,32.91973,-96.51043
9,,418 E. Bourne Ave. ROCKWALL TX 75087,32.92185,-96.45795
10,,705 S. GOLIAD ROCKWALL TX 75087,32.92389,-96.4601
11,,1050 WILLIAMS ROCKWALL TX 75087,32.93506,-96.44535
12,,200 CHAMPIONS DR ROCKWALL TX 75087,32.94979,-96.47863
13,,"1900 CD Boren Pkwy, Fate, TX 75087",32.95473,-96.37937
14,,1362 E. FM 552 ROCKWALL TX 75087,32.96618,-96.44456
15,,350 DALTON RD ROCKWALL TX 75087,32.96681,-96.46724
16,,812 E. OLD GREENVILLE RD ROYSE CITY TX 75189,32.9711,-96.32273
17,,305 N. ARCH ST ROYSE CITY TX 75189,32.97636,-96.332
