geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
48291700100,291,0.14549,0,0.93168,0,0.09367,0,0.17862,0,0.07012,0,0.0,1,0.0456,1,0.44423,0,0.49743,0,0.04027,0,0.04349,0,0.06834,0.04854,4147,51.73148,80.16395,0.71082,0.53713,0.36024,0.519
48291700200,291,0.04444,1,0.82506,0,0.13165,0,0.15822,0,0.07167,0,0.0,1,0.3877,0,0.16497,0,0.44424,0,0.0431,0,0.19787,0,0.05415,0.05017,3042,16.29125,186.72603,0.66298,0.52636,0.34696,0.54163
48291700300,291,0.14996,0,0.9024,0,0.21991,0,0.18991,0,0.09458,0,0.00953,1,0.00862,1,0.31619,0,0.65695,0,0.11382,0,0.36365,0,0.09036,0.11182,9514,200.5121,47.44851,0.65845,0.44116,0.5,0.53796
48291700400,291,0.014,1,0.95249,0,0.14114,0,0.22821,0,0.06986,0,0.00459,1,0.06606,1,0.12649,1,0.80286,0,0.09222,0,0.16387,0,0.08433,0.09288,6334,366.38465,17.28784,0.71338,0.64418,0.5,0.63389
48291700500,291,0.05444,1,0.97893,0,0.16137,0,0.19438,0,0.07682,0,0.0,1,0.01929,1,0.16591,1,0.80253,0,0.03399,0,0.0,1,0.02283,0.06831,2423,287.57362,8.42567,0.68177,0.69312,,0.62522
48291700600,291,0.0551,1,0.82589,0,0.3123,0,0.21669,0,0.02279,1,0.0,1,0.07802,1,0.21591,0,0.70606,0,0.03372,0,0.01978,0,0.02186,0.06773,2862,320.95237,8.91721,0.52863,0.38261,,0.51147
48291700700,291,0.04355,1,0.96314,0,0.07311,0,0.10172,1,0.08957,0,0.0,1,0.09852,1,0.06001,1,0.79579,0,0.0285,0,0.18982,0,0.01142,0.02833,2507,137.34605,18.25316,0.79452,0.63792,,0.67891
48291700800,291,0.0382,0,0.94003,0,0.18504,0,0.0734,0,0.09854,0,0.01549,1,0.09193,0,0.10242,0,0.78708,0,0.11727,0,0.27927,0,0.20502,0.08293,8892,104.88004,84.78258,0.77951,0.6778,0.0,0.6488
48291700900,291,0.03428,0,1.0,0,0.14235,0,0.10443,0,0.12081,0,0.00036,1,0.19995,0,0.27862,0,0.50814,0,0.13453,0,0.0,1,0.01941,0.04185,6059,169.61264,35.72257,0.74863,0.53026,0.03717,0.6853
48291701000,291,0.16215,0,0.97956,0,0.09204,0,0.11591,0,0.10716,0,0.01506,1,0.0481,1,0.48388,0,0.43869,0,0.07514,0,0.27574,0,0.07878,0.05203,6216,183.66672,33.84391,0.77148,0.64007,0.5,0.66878
48291701100,291,0.04979,0,0.94623,0,0.12795,0,0.12123,0,0.07546,0,0.00984,1,0.05873,0,0.11942,0,0.74656,0,0.07673,0,0.0,1,0.03197,0.10418,6954,190.80311,36.44595,0.72935,0.67287,0.60145,0.63587
48291701200,291,0.07887,1,0.95911,0,0.18088,0,0.14329,1,0.08827,0,0.0075,1,0.09061,0,0.19309,0,0.69739,0,0.07523,0,0.13919,0,0.14549,0.08226,6089,158.40693,38.43898,0.76205,0.61361,0.66172,0.65792
48291701300,291,0.01244,1,0.94691,0,0.1785,0,0.10092,0,0.06395,0,0.0,1,0.05318,1,0.09821,1,0.81272,0,0.03921,0,0.0,1,0.02512,0.07317,3492,357.44045,9.76946,0.61616,0.53158,,0.51539
48291701400,291,0.09163,0,0.96512,0,0.15666,0,0.14105,0,0.11904,0,0.0,1,0.19869,0,0.24997,0,0.51939,0,0.09629,0,0.26595,0,0.14092,0.0958,7112,501.1209,14.19218,0.6823,0.60369,0.68484,0.62417
